comment_id,text,issue_id,author_id
11779,"[https://www.youtube.com/watch?v=tuhOdtsvoNY|https://www.youtube.com/watch?v=tuhOdtsvoNY]
thanks this gay, he help me

finish test. It works on grafana.maddevs.co",669666,1
10601,OK [~accountid:557058:3f7ab89a-8969-4547-90df-53b125e262f7] thank you for the update and the message slack.,669670,1
76101,"I encountered a problem with access to `/users/:id/emails` endpoint.

As GitLab API documentation says I need to have an `admin` role but now I was checking group where I'm `owner`.",670930,2
76102,"I have learned that `users/:id/emails` endpoint available only for self-managed Gitlab instances.
However, we already have users` emails according to project commits. Hence, we may use them for matching.

But we wouldn't know about the user`s email until he pushes a commit.

[~chaka]",670930,2
76213,"We have decided with Andrew to set member's email manually 'cause currently, we have to show up to our main graph.",670930,2
75770,I have read the neo4j documentation and also I was able to get all users by using the MERGE clause.,670934,2
75841,"I learned how relations work in the cypher language. And I added relationships for:
User->Channel (or Group)
User->Message
Message->Channel",670934,2
75842,I'm working on adding replies to existing messages.,670934,2
69363,"Submitted by MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/73]

Added the ability for the user/driver to turn off vibration in the application settings:
!2020-01-15 19.01.42.jpg|thumbnail!

Feature video [^2020-01-15 19.01.37.mp4]",675981,94
69736,"Work on the task was stopped due to the freezing of the project on January 21, 2020 (at the direction of Alla Klimenko)",675981,54
72839,Task closed due to project transfer,675981,54
69238,"Submitted by MR - [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/71]

Added checks for activity state. The crash occurred due to the fact that the activity on which the fragment was attached was no longer busy. But which thread called showSimpleAlert. And during the detachment of the fragment from the activity, the showSimpleAlert method was called in which there were no checks for the state of the activity, because of this, a crash occurs.",675992,94
69308,MR accepted [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/71],675992,94
69224,"Fixed by adding a check for null, the logic of calling the method was not built correctly.

Submitted by MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/71]",675993,94
69309,MR accepted [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/71],675993,94
69246,"Added a sound notification when receiving a specified order. Chose a default sound when assigning an order [^assign_order.mp3]
h3. ^Code in MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/commit/7fe41160d1ceaaeb90e64b8a8470b9fb7911a730]^",675996,94
69314,Developed in the comments indicated a link to the code,675996,94
69218,"Added a notification display when the application is minimized. I display the timer and information about the order. Added accept and reject order buttons.

!2020-01-09 19.26.23.jpg|thumbnail!",676002,94
69316,Developed in the comments indicated a link to the code,676002,94
69291,"Added driver status change. Now when you turn off all windows or clear an app from the Recent Apps tab. This will help the bekenshiks, according to Astashov.

Code in MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/commit/c346e42ed93b6c1dc7cd505c2ddd3016224abf32]",676004,94
69313,Developed in the comments indicated a link to the code,676004,94
